pos,artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms,album_name,Genre,releaseYear
16,Duran Duran,spotify:track:0lJK5ZmN9K4IaEi6QHj5W8,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,Is There Something I Should Know,spotify:album:7rCjItVh49HVMaHqxFKPRZ,249666,Duran Duran,"new wave, synthpop",1981.0
71,Gucci Mane,spotify:track:5mpTXcCWYkCUsh3gsROPJt,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,Freaky Gurl (Remix) (feat. Lil Kim & Ludacris),spotify:album:2ATBBJEvtJIM4RXl4FHGFc,281469,Back to the Trap House,"southern hip hop, rap, trap",2015.0
117,Toby Love,spotify:track:5sKWCIIqLjyd8HccLzSR8a,spotify:artist:72R3RMGmSmzG57R7OUaDaN,Mi Reina,spotify:album:4rDdqIdgGzfD6KXc7VDDzU,214560,Amor Total,"bachata, bachata pop",
55,Rodrigo y Gabriela,spotify:track:6SJng26JY5AC65KlKKpuWO,spotify:artist:7vX3cMVyW8gtDA4y855ynF,South Of Heaven's Chanting Mermaids,spotify:album:0mcN3TijKQM80kirrSUhLG,348613,Pirates of the Caribbean: On Stranger Tides,acoustic rock,2011.0
9,Jeff Williams,spotify:track:76dfzRXMbe8l3hEHKPtftB,spotify:artist:6jy0VQ5tLwEKBeMxZ1aK4J,I Burn Remix (feat. Casey Lee Williams),spotify:album:56Ui2IY7Wb73D5MLMdSeqD,187396,Rwby Volume 1 Soundtrack,anime,2013.0
131,Mistah F.A.B.,spotify:track:4WQPPdKtRbgrqfyxnsfNuW,spotify:artist:55TH3aMMK1u2VsR8DPGC6D,Another B*tch (feat. Ty Dolla $ign),spotify:album:18GVT5wDaaF7OwUmjl60RV,219760,Hella Ratchet,"hyphy, west coast hip hop",2013.0
33,Pulp,spotify:track:3wTfiUAZnR1axJ2TaAKuXB,spotify:artist:36E7oYfz3LLRto6l2WmDcD,Life Must Be So Wonderful,spotify:album:6EfYojAxWIUF7UeSGnuvbW,238826,Freaks,"britpop, madchester",
28,Black Sabbath,spotify:track:62oNfnQqObaqARM0DTibAL,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,N.I.B. - 2009 Remastered Version,spotify:album:2T6jeELx5BqH4GMLObBy10,364493,Black Sabbath,"metal, heavy metal, rock, stoner rock, hard rock, doom metal, classic rock",1970.0
94,A.B. Quintanilla III,spotify:track:0RnytTUYmgNAfNF4D9F4lT,spotify:artist:5MP9bH9aUryiKQeUvABLIU,Boom Boom - Live,spotify:album:68t3P05R6VxPBUUfHitDy1,203506,A.B. Quintanilla III Presents Kumbia Kings Live,"tejano, cumbia",
120,Charlie Puth,spotify:track:6vSforRhuzsA0D0SO9fG1S,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,One Call Away,spotify:album:6E0p38TjcK490itZ1Ns7bD,194453,Nine Track Mind,"soft pop, pop",2015.0
38,Creedence Clearwater Revival,spotify:track:2vklvHo937xBKdVE5AEpHv,spotify:artist:3IYUhFvPQItj6xySrBmZkd,Up Around The Bend - Live In Amsterdam 9-10-71,spotify:album:4GLxEXWI3JiRKp6H7bfTIK,161786,Cosmo's Factory,"classic rock, southern rock, country rock",1970.0
16,William Murphy,spotify:track:6cfvKRVBkw0i6usuYwsYSI,spotify:artist:1FQJqgKQDNLWfeLBQoQLmD,It's Working,spotify:album:0BLe7iiUwRz3qlYVSvHPdS,292240,God Chaser,"gospel, worship",2013.0
